SpeedItem [upload=false, thread=0, time=5340938286, bytes=4248272]
SpeedItem [upload=false, thread=0, time=5355409616, bytes=4275784]
SpeedItem [upload=false, thread=0, time=5389970280, bytes=4294608]
SpeedItem [upload=false, thread=0, time=5404504725, bytes=4322120]
SpeedItem [upload=false, thread=0, time=5439344603, bytes=4342392]
SpeedItem [upload=false, thread=0, time=5488922858, bytes=4356624]
SpeedItem [upload=false, thread=0, time=5502622932, bytes=4406104]
SpeedItem [upload=false, thread=0, time=5537498132, bytes=4422032]
SpeedItem [upload=false, thread=0, time=5551613412, bytes=4439160]
SpeedItem [upload=false, thread=0, time=5586690404, bytes=4456536]
SpeedItem [upload=false, thread=0, time=5600548934, bytes=4472712]
SpeedItem [upload=false, thread=0, time=5635868761, bytes=4488392]
SpeedItem [upload=false, thread=0, time=5649641262, bytes=4507464]
SpeedItem [upload=false, thread=0, time=5684872969, bytes=4523144]
SpeedItem [upload=false, thread=0, time=5698730972, bytes=4543416]
SpeedItem [upload=false, thread=0, time=5734107836, bytes=4557896]
SpeedItem [upload=false, thread=0, time=5747673436, bytes=4579864]
SpeedItem [upload=false, thread=0, time=5783192647, bytes=4595544]
SpeedItem [upload=false, thread=0, time=5796631563, bytes=4617512]
SpeedItem [upload=false, thread=0, time=5832261955, bytes=4633192]
SpeedItem [upload=false, thread=0, time=5845664518, bytes=4655160]
SpeedItem [upload=false, thread=0, time=5881299166, bytes=4670840]
SpeedItem [upload=false, thread=0, time=5894738925, bytes=4694008]
SpeedItem [upload=false, thread=0, time=5930328155, bytes=4705840]
SpeedItem [upload=false, thread=0, time=5943692958, bytes=4731656]
SpeedItem [upload=false, thread=0, time=5979382643, bytes=4746136]
SpeedItem [upload=false, thread=0, time=5992638290, bytes=4766656]
SpeedItem [upload=false, thread=0, time=6028368938, bytes=4782584]
SpeedItem [upload=false, thread=0, time=6041534942, bytes=4805752]
SpeedItem [upload=false, thread=0, time=6077505959, bytes=4818784]
SpeedItem [upload=false, thread=0, time=6090468291, bytes=4841952]
SpeedItem [upload=false, thread=0, time=6126700819, bytes=4859328]
SpeedItem [upload=false, thread=0, time=6139420264, bytes=4882496]
SpeedItem [upload=false, thread=0, time=6175640550, bytes=4898424]
SpeedItem [upload=false, thread=0, time=6188467677, bytes=4924488]
SpeedItem [upload=false, thread=0, time=6224598997, bytes=4938968]
SpeedItem [upload=false, thread=0, time=6237408939, bytes=4963584]
SpeedItem [upload=false, thread=0, time=6273601224, bytes=4979512]
SpeedItem [upload=false, thread=0, time=6286371025, bytes=5005576]
SpeedItem [upload=false, thread=0, time=6322589319, bytes=5018608]
SpeedItem [upload=false, thread=0, time=6335265555, bytes=5044672]
SpeedItem [upload=false, thread=0, time=6371630182, bytes=5059152]
